,date,open,high,low,close,average,barCount
0,2023-05-04 08:00:00+00:00,162.61,162.61,161.99,162.1,162.232,26
1,2023-05-04 08:01:00+00:00,162.15,162.29,162.13,162.28,162.231,11
2,2023-05-04 08:02:00+00:00,162.18,162.48,162.15,162.48,162.27,17
3,2023-05-04 08:03:00+00:00,162.44,162.46,162.44,162.45,162.45,4
4,2023-05-04 08:04:00+00:00,162.46,162.59,162.45,162.55,162.53,15
5,2023-05-04 08:05:00+00:00,162.55,162.55,162.29,162.35,162.395,14
6,2023-05-04 08:06:00+00:00,162.42,162.47,162.4,162.4,162.434,7
7,2023-05-04 08:07:00+00:00,162.41,162.41,162.35,162.37,162.388,4
8,2023-05-04 08:08:00+00:00,162.37,162.4,162.37,162.39,162.384,7
9,2023-05-04 08:09:00+00:00,162.38,162.41,162.37,162.4,162.391,7
