,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-24 21:14:00+00:00,187.01,187.01,186.78,186.9,11725.0
1,1,2023-05-24 21:15:00+00:00,186.82,186.9,186.64,186.71,22971.0
2,2,2023-05-24 21:16:00+00:00,186.8,186.84,186.52,186.84,23125.0
3,3,2023-05-24 21:17:00+00:00,186.74,187.0,186.74,186.99,16801.0
4,4,2023-05-24 21:18:00+00:00,186.85,186.98,186.76,186.8,4720.0
5,5,2023-05-24 21:19:00+00:00,186.8,186.94,186.76,186.81,12693.0
6,6,2023-05-24 21:20:00+00:00,186.8,186.8,186.71,186.77,4664.0
7,7,2023-05-24 21:21:00+00:00,186.71,186.8,186.55,186.56,12301.0
8,8,2023-05-24 21:22:00+00:00,186.5,186.5,186.0,186.01,18112.0
9,9,2023-05-24 21:23:00+00:00,186.0,186.5,186.0,186.34,14892.0
